LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=55us, v_thresh=1.0V
LIF Resolution: 15° per neuron
Date: 2026-03-30 04:01:21
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
          20         65       2.174377          165.0
          20         65       2.182053          150.0
          20         65       2.183065          165.0
          20         65       2.192016          165.0
          20         65       2.201249          165.0
          20         65       2.202744          150.0
          20         65       2.210668          165.0
          20         65       2.220372          165.0
          20         65       2.230264          165.0
          20         65       2.512014          165.0
          25         70       0.018221          165.0
          25         70       0.031733          165.0
          25         70       0.050561          165.0
          25         70       0.051819          150.0
          25         70       2.123307          165.0
          25         70       2.131014          165.0
          25         70       2.150042          165.0
          25         70       2.163286          165.0
          25         70       2.172096          150.0
          25         70       2.180514          165.0
          25         70       2.182342          150.0
          25         70       2.187493          180.0
          25         70       2.188711          165.0
          25         70       2.196897          165.0
          25         70       2.205045          150.0
          25         70       2.213616          165.0
          25         70       2.227719          165.0
          25         70       2.230469          165.0
          25         70       2.234529          150.0
          25         70       2.239032          150.0
          25         70       2.242598          165.0
          25         70       2.247586          165.0
          25         70       2.249717          150.0
          25         70       2.258293          150.0
          25         70       2.281951          150.0
          25         70       2.284103          135.0
          25         70       2.298788          165.0
          25         70       2.301971          165.0
          25         70       2.316085          165.0
          25         70       2.318170          150.0
          25         70       2.333338          150.0
          25         70       2.437350          165.0
          25         70       2.441948          165.0
          25         70       2.519354          165.0
          25         70       2.523389          165.0
          25         70       2.529350          165.0
          25         70       2.534838          150.0
          25         70       2.544779          150.0
          25         70       2.550248          150.0
          25         70       2.587100          165.0
          25         70       2.594272          165.0
          25         70       2.601424          165.0
          25         70       2.608577          165.0
          25         70       2.615764          165.0
          25         70       2.620827          165.0
          25         70       2.622940          165.0
          25         70       2.624252          150.0
          25         70       2.631401          165.0
          25         70       2.651905          165.0
          25         70       2.653346          150.0
          25         70       2.659047          165.0
          25         70       2.688036          165.0
          25         70       2.703092          150.0
          25         70       2.723879           75.0
          25         70       2.776975          165.0
          25         70       2.785657          150.0
          25         70       2.785657          165.0
          25         70       2.794688          165.0
          25         70       2.914260          165.0
          25         70       2.921081          165.0
          25         70       2.947024          150.0
          25         70       2.950036          150.0
          25         70       2.953995          165.0
          25         70       2.958043          150.0
          25         70       2.962733          165.0
          25         70       2.966915          165.0
          25         70       2.971460          165.0
          25         70       2.980253          165.0
          25         70       2.982790          165.0
          30         75       0.589494          150.0
          30         75       0.599123          150.0
          30         75       0.601311          150.0
          30         75       0.606504          150.0
          30         75       0.608693          150.0
          30         75       0.613583          150.0
          30         75       0.613583          165.0
          30         75       0.635813          150.0
          30         75       0.643592          150.0
          30         75       0.654633          165.0
          30         75       0.661102            0.0
          30         75       1.074580          150.0
          30         75       1.683964          165.0
          30         75       1.692993          165.0
          30         75       1.701585          165.0
          30         75       1.710305          150.0
          30         75       1.718942          150.0
          30         75       1.743774          150.0
          30         75       1.751764          150.0
          30         75       1.760036          150.0
          30         75       1.784834          150.0
          30         75       1.945248          150.0
          30         75       1.946536          165.0
          30         75       1.955124          165.0
          30         75       1.956149          150.0
          30         75       1.964026          150.0
          30         75       2.192873          150.0
          30         75       2.194053          165.0
          30         75       2.202454          150.0
          30         75       2.202454          165.0
          30         75       2.211947          150.0
          30         75       2.328051          150.0
          30         75       2.331399          150.0
          30         75       2.337092          150.0
          30         75       2.337092          165.0
          30         75       2.339299          150.0
          30         75       2.349311          150.0
          30         75       2.363145          150.0
          30         75       2.365791          150.0
          30         75       2.372133          150.0
          30         75       2.374705          150.0
          30         75       2.389858          150.0
          30         75       2.395301          165.0
          30         75       2.408614          165.0
          30         75       2.417889          150.0
          30         75       2.420614          135.0
          30         75       2.436072          150.0
          30         75       2.446776           45.0
          30         75       2.459650          150.0
          30         75       2.469514          150.0
          30         75       2.478758          165.0
          30         75       2.490697          150.0
          30         75       2.499131          150.0
          30         75       2.505493          150.0
          30         75       2.512506          150.0
          30         75       2.526012          150.0
          30         75       2.540559          150.0
          30         75       2.559178          150.0
          30         75       2.594084          150.0
          30         75       2.630264          165.0
          30         75       2.633803          150.0
          30         75       2.656443          150.0
          30         75       2.826252          150.0
          30         75       2.833762          150.0
          30         75       2.939084          150.0
          30         75       2.968330          150.0
          30         75       2.974400          150.0
          30         75       2.982529          150.0
          30         75       2.990877          150.0
          35         80       0.005340          150.0
          35         80       0.013184          150.0
          35         80       0.022508          150.0
          35         80       0.031954          150.0
          35         80       0.041711          150.0
          35         80       0.056239          150.0
          35         80       0.080881          150.0
          35         80       0.085637          150.0
          35         80       0.090313          150.0
          35         80       0.100297          150.0
          35         80       0.313555          150.0
          35         80       0.332094          150.0
          35         80       0.351217          150.0
          35         80       0.448942          150.0
          35         80       0.473723          150.0
          35         80       0.501563          150.0
          35         80       0.502636          135.0
          35         80       0.589969          150.0
          35         80       0.592387          150.0
          35         80       0.600664          150.0
          35         80       0.601698          135.0
          35         80       0.605569          150.0
          35         80       0.607629          150.0
          35         80       0.613536          150.0
          35         80       0.617034          135.0
          35         80       0.618082          150.0
          35         80       0.630118          150.0
          35         80       0.638514          135.0
          35         80       0.643139           75.0
          35         80       0.647172          150.0
          35         80       0.650354           75.0
          35         80       0.739993           15.0
          35         80       0.747258          150.0
          35         80       0.748282          135.0
          35         80       0.749307          150.0
          35         80       0.751852          135.0
          35         80       0.764344          150.0
          35         80       0.765401          135.0
          35         80       0.771481          150.0
          35         80       0.772489          165.0
          35         80       0.826442          150.0
          35         80       0.838004          150.0
          35         80       0.857145          150.0
          35         80       0.900996          150.0
          35         80       1.004647          165.0
          35         80       1.035389          150.0
          35         80       1.036464          135.0
          35         80       1.043930          150.0
          35         80       1.048201          150.0
          35         80       1.053357          150.0
          35         80       1.062088          150.0
          35         80       1.081256          150.0
          35         80       1.102732          150.0
          35         80       1.139955          150.0
          35         80       1.166170          150.0
          35         80       1.325024          150.0
          35         80       1.447438          150.0
          35         80       1.467893          150.0
          35         80       1.645376          150.0
          35         80       1.652768          150.0
          35         80       1.661873          150.0
          35         80       1.662952          165.0
          35         80       1.671079          150.0
          35         80       1.677532          150.0
          35         80       1.681038          135.0
          35         80       1.683105           90.0
          35         80       1.685143          150.0
          35         80       1.687638          135.0
          35         80       1.782264          150.0
          35         80       1.785057          150.0
          35         80       1.939672          150.0
          35         80       1.948813           15.0
          35         80       1.948813           30.0
          35         80       1.957385          150.0
          35         80       1.957385          165.0
          35         80       1.969381          150.0
          35         80       1.996834          150.0
          35         80       1.999389          150.0
          35         80       2.019771          135.0
          35         80       2.027871          150.0
          35         80       2.028909          165.0
          35         80       2.029934          150.0
          35         80       2.059313          150.0
          35         80       2.060347          135.0
          35         80       2.061469          150.0
          35         80       2.072033          150.0
          35         80       2.073073          135.0
          35         80       2.078412          150.0
          35         80       2.080557          135.0
          35         80       2.084844          150.0
          35         80       2.085893          135.0
          35         80       2.091375          150.0
          35         80       2.098114          120.0
          35         80       2.098114          150.0
          35         80       2.166684          150.0
          35         80       2.168096          165.0
          35         80       2.194815          135.0
          35         80       2.251804          135.0
          35         80       2.252877          150.0
          35         80       2.257448          165.0
          35         80       2.264723          150.0
          35         80       2.288131          150.0
          35         80       2.295412          150.0
          35         80       2.332469          150.0
          35         80       2.332469          165.0
          35         80       2.340154          150.0
          35         80       2.347865          150.0
          35         80       2.349089          165.0
          35         80       2.371184          150.0
          35         80       2.379000          150.0
          35         80       2.380259          135.0
          35         80       2.386830          150.0
          35         80       2.388085          165.0
          35         80       2.615539          150.0
