LIF SNN Neuron Firing Log — Foci
Parameters: tau_leaky=58us, v_thresh=1.2V
LIF Resolution: 15° per neuron
Date: 2026-03-30 08:02:28
======================================================================
  True Angle  Servo Pos  Fire Time (s)   Neuron Angle
          75        120       0.446301          105.0
          75        120       1.074584          120.0
          75        120       1.189225          105.0
          75        120       1.286747          120.0
          75        120       1.400818          120.0
          75        120       2.144240           60.0
          80        125       0.015918          105.0
          80        125       0.480464          105.0
          80        125       0.504713          105.0
          80        125       0.512711          105.0
          80        125       0.573477          105.0
          80        125       0.739211          105.0
          80        125       0.773655          105.0
          80        125       0.850635          105.0
          80        125       0.866372          105.0
          80        125       0.884967          105.0
          80        125       1.254290          105.0
          80        125       1.376061          105.0
          80        125       1.449137          105.0
          80        125       1.558874          105.0
          80        125       1.821887          105.0
          80        125       1.844288          105.0
          80        125       1.851854          105.0
          80        125       1.874809          105.0
          80        125       1.936878          105.0
          80        125       2.025247          105.0
          80        125       2.087022          105.0
          80        125       2.390717          105.0
          80        125       2.416545          105.0
          80        125       2.490653          105.0
          80        125       2.516086          105.0
          80        125       2.552875          105.0
          80        125       2.639514          105.0
          80        125       2.642147          105.0
          80        125       2.656997          105.0
          80        125       2.665805          105.0
          80        125       2.714678          105.0
          85        130       0.240594          105.0
          85        130       0.250223          105.0
          85        130       0.252278          105.0
          85        130       0.259680          105.0
          85        130       0.269143          105.0
          85        130       0.288164          105.0
          85        130       0.298911          270.0
          85        130       0.345514          105.0
          85        130       0.363676          105.0
          85        130       0.478964          105.0
          85        130       0.488616          105.0
          85        130       0.511770          105.0
          85        130       0.528747          105.0
          85        130       0.538667          105.0
          85        130       0.586616          105.0
          85        130       0.814778           90.0
          85        130       0.834194          105.0
          85        130       0.847084          105.0
          85        130       0.859184          105.0
          85        130       0.877680          105.0
          85        130       1.578303          105.0
          85        130       1.602967          105.0
          85        130       1.716448          105.0
          85        130       1.881667          105.0
          85        130       2.103364           90.0
          85        130       2.151436          105.0
          85        130       2.174183           90.0
          85        130       2.469477          105.0
          85        130       2.476526          105.0
          85        130       2.483223          105.0
          85        130       2.779500          105.0
          85        130       2.793930          105.0
          85        130       2.798229          105.0
          85        130       2.965647          105.0
          90        135       0.436336           90.0
          90        135       0.447329           90.0
          90        135       0.585124          105.0
          90        135       0.652456          105.0
          90        135       0.846401          105.0
          90        135       0.921040           90.0
          90        135       0.978647          105.0
          90        135       1.485770          105.0
          90        135       2.406305           90.0
          90        135       2.726192           90.0
          90        135       2.734598           90.0
          95        140       0.067715           90.0
          95        140       0.159606           90.0
          95        140       0.207094           90.0
          95        140       0.216340           90.0
          95        140       0.225551           90.0
          95        140       0.381109           90.0
          95        140       0.390981           90.0
          95        140       0.550195           90.0
          95        140       1.000230           90.0
          95        140       1.009789           90.0
          95        140       1.164781           90.0
          95        140       1.173121           90.0
          95        140       1.331176           90.0
          95        140       1.540816           90.0
          95        140       1.811496           90.0
          95        140       1.959148           90.0
          95        140       1.968836           90.0
          95        140       1.978519           90.0
          95        140       2.200160           90.0
          95        140       2.202508           90.0
          95        140       2.429020           90.0
          95        140       2.459583           90.0
          95        140       2.469715           90.0
          95        140       2.479852           90.0
         100        145       0.773695           90.0
         100        145       0.781883           90.0
         100        145       0.865879           90.0
         100        145       1.098262           90.0
         100        145       1.100411           90.0
         100        145       1.241227           75.0
         100        145       1.253793           90.0
         100        145       1.256145           90.0
         100        145       1.281383           90.0
         100        145       1.288246           90.0
         100        145       1.511524           90.0
         100        145       1.774653           90.0
         100        145       2.059882           75.0
         100        145       2.191793           90.0
         100        145       2.230196           90.0
         100        145       2.239621           90.0
         100        145       2.248282           90.0
         100        145       2.600828           90.0
         100        145       2.620461           90.0
         100        145       2.714106           90.0
         100        145       2.985121           90.0
         105        150       0.346920           75.0
         105        150       0.366633           75.0
         105        150       0.393128           75.0
         105        150       0.459586           75.0
         105        150       0.937459           75.0
         105        150       0.990645           75.0
         105        150       1.063428           75.0
         105        150       1.285163           75.0
         105        150       1.294491           75.0
         105        150       2.415411           90.0
         105        150       2.779061           75.0
         110        155       0.283973           75.0
         110        155       0.291512           75.0
         110        155       0.404874           75.0
         110        155       0.503637           75.0
         110        155       0.711721           75.0
         110        155       0.740358           75.0
         110        155       0.805709           75.0
         110        155       0.814858           75.0
         110        155       0.824159           75.0
         110        155       0.838844           75.0
         110        155       1.085924           75.0
         110        155       1.235764           75.0
         110        155       1.427659           75.0
         110        155       1.437266           75.0
         110        155       1.727821           75.0
         110        155       1.751217           75.0
         110        155       1.947344           75.0
         110        155       1.991413           75.0
         110        155       2.618702           75.0
         110        155       2.736364           75.0
         110        155       2.755688           75.0
         110        155       2.812608           75.0
         110        155       2.842075           75.0
         110        155       2.944887           75.0
         110        155       2.973964           75.0
         115        160       0.437911           75.0
         115        160       0.455254           75.0
         115        160       0.526143           75.0
         115        160       0.908135           75.0
         115        160       0.920512           60.0
         115        160       0.925736           60.0
         115        160       0.933529           60.0
         115        160       1.157377           75.0
         115        160       1.282879           75.0
         115        160       2.085627           75.0
         115        160       2.103151           75.0
         115        160       2.370780           75.0
         120        165       0.373670           60.0
         120        165       2.271163           75.0
         120        165       2.798045           60.0
         120        165       2.928154           60.0
         125        170       2.103588           60.0
         125        170       2.442951           60.0
         125        170       2.800873           60.0
         125        170       2.844100           60.0
         125        170       2.851057           60.0
         130        175       0.139256           60.0
         130        175       0.187990           60.0
         130        175       0.291291           60.0
         130        175       0.293428           60.0
         130        175       0.303033           60.0
         130        175       0.307861           60.0
         130        175       1.192321           60.0
         130        175       1.671424           60.0
         130        175       1.943877           60.0
         130        175       2.013745          285.0

======================================================================
Summary:
  True Angle  Best Pred    Error   #Fires   #Input
----------------------------------------------------------------------
           0       180°     180°       32     2500
           5       180°     175°       19     2276
          10       165°     155°        8     2085
          15       165°     150°       19     1568
          20       165°     145°       18     1348
          25       150°     125°        8     1313
          30       150°     120°       27     1362
          35       150°     115°       43     3095
          40       150°     110°       26     2895
          45       135°      90°       38     3449
          50       135°      85°       19     2131
          55       135°      80°       14      938
          60       120°      60°       17     4251
          65       120°      55°       23     2652
          70       120°      50°       22     2286
          75       120°      45°        8     2083
          80       105°      25°       31     3339
          85       105°      20°       34     3265
          90        90°       0°       11     3051
          95        90°       5°       24     2430
         100        90°      10°       21     1219
         105        75°      30°       11     2849
         110        75°      35°       25     1531
         115        75°      40°       12     1262
         120        60°      60°        4      897
         125        60°      65°        5     1813
         130        60°      70°       10     3644

Mean error: 77.8°
Max error:  180.0°
Std error:  52.0°
Success rate: 27/27 (100%)
